country_code,c_i_child,pj,income,gini,gdpppp
ALB,1,0.8158745,728.89795,30.3,7297.0
ALB,2,0.8158745,916.66235,30.3,7297.0
ALB,3,0.8158745,1010.916,30.3,7297.0
ALB,4,0.8158745,1086.9078,30.3,7297.0
ALB,5,0.8158745,1132.6997,30.3,7297.0
ALB,6,0.8158745,1171.1412,30.3,7297.0
ALB,7,0.8158745,1201.1324,30.3,7297.0
ALB,8,0.8158745,1240.8976,30.3,7297.0
ALB,9,0.8158745,1285.6914,30.3,7297.0
ALB,10,0.8158745,1325.2533,30.3,7297.0
ALB,11,0.8158745,1351.3123,30.3,7297.0
ALB,12,0.8158745,1379.9443,30.3,7297.0
ALB,13,0.8158745,1416.7827,30.3,7297.0
ALB,14,0.8158745,1467.0759,30.3,7297.0
ALB,15,0.8158745,1503.6356,30.3,7297.0
ALB,16,0.8158745,1535.6703,30.3,7297.0
ALB,17,0.8158745,1571.8933,30.3,7297.0
ALB,18,0.8158745,1604.8568,30.3,7297.0
ALB,19,0.8158745,1636.6593,30.3,7297.0
ALB,20,0.8158745,1669.9136,30.3,7297.0
ALB,21,0.8158745,1709.7347,30.3,7297.0
ALB,22,0.8158745,1746.391,30.3,7297.0
ALB,23,0.8158745,1765.3282,30.3,7297.0
ALB,24,0.8158745,1789.8435,30.3,7297.0
ALB,25,0.8158745,1821.8538,30.3,7297.0
ALB,26,0.8158745,1844.6742,30.3,7297.0
ALB,27,0.8158745,1863.2518,30.3,7297.0
ALB,28,0.8158745,1880.7145,30.3,7297.0
ALB,29,0.8158745,1903.7499,30.3,7297.0
ALB,30,0.8158745,1929.054,30.3,7297.0
ALB,31,0.8158745,1950.4482,30.3,7297.0
ALB,32,0.8158745,1967.546,30.3,7297.0
ALB,33,0.8158745,1993.7744,30.3,7297.0
ALB,34,0.8158745,2026.2073,30.3,7297.0
ALB,35,0.8158745,2057.9592,30.3,7297.0
ALB,36,0.8158745,2085.9587,30.3,7297.0
ALB,37,0.8158745,2115.247,30.3,7297.0
ALB,38,0.8158745,2141.773,30.3,7297.0
ALB,39,0.8158745,2170.2737,30.3,7297.0
ALB,40,0.8158745,2195.6135,30.3,7297.0
ALB,41,0.8158745,2216.396,30.3,7297.0
ALB,42,0.8158745,2258.5613,30.3,7297.0
ALB,43,0.8158745,2291.3662,30.3,7297.0
ALB,44,0.8158745,2318.385,30.3,7297.0
ALB,45,0.8158745,2343.677,30.3,7297.0
ALB,46,0.8158745,2367.7053,30.3,7297.0
ALB,47,0.8158745,2394.3325,30.3,7297.0
ALB,48,0.8158745,2414.1929,30.3,7297.0
ALB,49,0.8158745,2450.6875,30.3,7297.0
ALB,50,0.8158745,2493.837,30.3,7297.0
ALB,51,0.8158745,2515.8542,30.3,7297.0
ALB,52,0.8158745,2545.9229,30.3,7297.0
ALB,53,0.8158745,2585.2053,30.3,7297.0
ALB,54,0.8158745,2624.496,30.3,7297.0
ALB,55,0.8158745,2653.148,30.3,7297.0
ALB,56,0.8158745,2689.833,30.3,7297.0
ALB,57,0.8158745,2727.5537,30.3,7297.0
ALB,58,0.8158745,2760.3188,30.3,7297.0
ALB,59,0.8158745,2789.3022,30.3,7297.0
ALB,60,0.8158745,2820.4968,30.3,7297.0
ALB,61,0.8158745,2853.7224,30.3,7297.0
ALB,62,0.8158745,2892.096,30.3,7297.0
ALB,63,0.8158745,2937.91,30.3,7297.0
ALB,64,0.8158745,2981.6497,30.3,7297.0
ALB,65,0.8158745,3007.7898,30.3,7297.0
ALB,66,0.8158745,3061.0693,30.3,7297.0
ALB,67,0.8158745,3103.5266,30.3,7297.0
ALB,68,0.8158745,3146.2292,30.3,7297.0
ALB,69,0.8158745,3181.6255,30.3,7297.0
ALB,70,0.8158745,3230.5708,30.3,7297.0
ALB,71,0.8158745,3280.7761,30.3,7297.0
ALB,72,0.8158745,3341.487,30.3,7297.0
ALB,73,0.8158745,3390.7966,30.3,7297.0
ALB,74,0.8158745,3439.6257,30.3,7297.0
ALB,75,0.8158745,3491.062,30.3,7297.0
ALB,76,0.8158745,3559.863,30.3,7297.0
ALB,77,0.8158745,3616.3733,30.3,7297.0
